"","x"
"165",0.581163246165317
"166",0.583697693017685
"167",0.586220879174127
"168",0.588733709331344
"169",0.591232380005875
"170",0.593724110422232
"171",0.596204356263424
"172",0.598675984807477
"173",0.601136055394657
"174",0.603585771481832
"175",0.606020191571703
"176",0.60844613347806
"177",0.610859123017285
"178",0.613259875263017
"179",0.615646947701335
"180",0.618019348062877
"181",0.620382602425798
"182",0.622734157352165
"183",0.625073875757868
"184",0.627402185909932
"185",0.62971706527592
"186",0.632018840068467
"187",0.634308996224086
"188",0.636586466367
"189",0.638850888256743
"190",0.641101307736301
"191",0.643337881948453
"192",0.645558716992887
"193",0.647768065391792
"194",0.649962047341337
"195",0.652144260862443
"196",0.6543125627149
"197",0.65646792887741
"198",0.658608041084631
"199",0.660736584952546
"200",0.662853045892534
"201",0.664811519463276
"202",0.673197367619228
"203",0.681532817734305
"204",0.689806831708196
"205",0.698010106436325
"206",0.706157340219434
"207",0.714248690307862
"208",0.722257204755766
"209",0.730165802966881
"210",0.737954535530377
"211",0.745621028849724
"212",0.753163400572784
"213",0.760560234572068
"214",0.767791393157848
"215",0.774842653753846
"216",0.781704080302478
"217",0.788378172352912
"218",0.794851953036054
"219",0.801128132936477
"220",0.807218177294629
"221",0.813111484179126
"222",0.818809837368969
"223",0.824313017938475
"224",0.829621481326799
"225",0.834746446900807
"226",0.839688819935579
"227",0.84445158963797
"228",0.84904431319747
"229",0.853493738380991
"230",0.857793722251226
"231",0.861927737221013
"232",0.865887596949703
"233",0.869678206285347
"234",0.873297400630727
"235",0.876746228003219
"236",0.880028832637676
"237",0.883152928096418
"238",0.886123499657108
"239",0.888950574379441
"240",0.891652984673466
"241",0.89423419680648
"242",0.896673223882557
"243",0.898979975957341
"244",0.901184208933675
"245",0.903313861430615
"246",0.905380778508329
"247",0.907377781823797
"248",0.909293950347634
"249",0.91112798883938
"250",0.912890951542227
"251",0.914589632389025
"252",0.916218768166122
"253",0.917779290113898
"254",0.91927550255257
"255",0.920710086143361
"256",0.9220805315038
"257",0.923401401954852
"258",0.924692297535006
"259",0.925945594881561
"260",0.927161061829463
"261",0.928340675579131
"262",0.929484272500672
"263",0.930603448645176
"264",0.931699631017533
"265",0.932791413320234
"266",0.93388699237687
"267",0.934973617254031
"268",0.936028040267593
"269",0.937033934433301
"270",0.938000917511176
"271",0.938949327208257
"272",0.939879832380093
"273",0.940784221484483
"274",0.941660894415507
"275",0.942522937914448
"276",0.943382845161844
"277",0.944242220441157
"278",0.945104704369618
"279",0.94595596319296
"280",0.946793902502509
"281",0.947614096059981
"282",0.948430174764841
"283",0.949254555460068
"284",0.950070310014644
"285",0.950874118027044
"286",0.951687020874735
"287",0.952516473390705
"288",0.953348374708093
"289",0.954175457105745
"290",0.954993647378228
"291",0.955807192413695
"292",0.956609989820644
"293",0.957403429324395
"294",0.9581941512338
"295",0.958976032835835
"296",0.959745636001825
"297",0.96051026270875
"298",0.96127277885226
"299",0.962031229938463
"300",0.962786008925972
"301",0.963531208551072
"302",0.964268835905897
"303",0.964992339427365
"304",0.965693252463042
"305",0.966382547562445
"306",0.967062306899339
"307",0.967718162067972
"308",0.968348077837704
"309",0.968968706812251
"310",0.969585446599719
"311",0.970185096932779
"312",0.97076021547353
"313",0.971313309100952
"314",0.971854764869866
"315",0.972391660825504
"316",0.972939910735941
"317",0.973510711761004
"318",0.974093747513017
"319",0.974700230664846
"320",0.975319552253584
"321",0.975954627251578
"322",0.976614667137973
"323",0.977282417542678
"324",0.977938476018474
"325",0.978575758555129
"326",0.979196736063151
"327",0.979811244207982
"328",0.980424175513898
"329",0.981038272938504
"330",0.981648518263848
"331",0.982271531056986
"332",0.982924478969686
"333",0.983613030661111
"334",0.984334389460046
"335",0.985093738101879
"336",0.985899644394843
"337",0.986733672230219
"338",0.98758755968495
"339",0.988457153060803
"340",0.989343383333343
"341",0.990253058445763
"342",0.991180031442531
"343",0.992117904747237
"344",0.993060115531819
"345",0.994013887993393
"346",0.994995950775289
"347",0.99600741275637
"348",0.997032059970539
"349",0.998044177471135
"350",0.999034422319057
"351",1
